company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR,Pos-Work Life Balance,Pos-Company Culture,Pos-Appraisal,Pos-Learning,Pos-Work Satisfaction,Pos-Salary & Benefits,Pos-Promotions,Pos-Job Security,Pos-Skill Development,Con-Work Life Balance,Con-Company Culture,Con-Appraisal,Con-Learning,Con-Work Satisfaction,Con-Salary & Benefits,Con-Promotions,Con-Job Security,Con-Skill Development
TCS,IT Services & Consulting ,3.8,73.8k Reviews,56.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Accenture,IT Services & Consulting ,4.0,46.8k Reviews,35.0,"Company Culture, Skill Development / Learning, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cognizant,IT Services & Consulting ,3.9,42.2k Reviews,30.0,Skill Development / Learning,Promotions / Appraisal,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Wipro,IT Services & Consulting ,3.8,39.6k Reviews,79.0,Job Security,"Promotions / Appraisal, Salary & Benefits",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Capgemini,IT Services & Consulting ,3.9,34.3k Reviews,57.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
HDFC Bank,Banking ,4.0,34.3k Reviews,30.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
ICICI Bank,Banking ,4.0,33.8k Reviews,30.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Infosys,IT Services & Consulting ,3.8,32.1k Reviews,43.0,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
HCLTech,IT Services & Consulting ,3.7,28.9k Reviews,33.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
Tech Mahindra,IT Services & Consulting ,3.7,27.9k Reviews,38.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Genpact,IT Services & Consulting ,3.9,26.5k Reviews,27.0,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
Axis Bank,Banking ,3.9,22.2k Reviews,31.0,Job Security,No-Data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Teleperformance,BPO ,3.6,22.2k Reviews,46.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Concentrix Corporation,BPO ,3.9,22k Reviews,41.0,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Jio,Telecom ,4.0,20.8k Reviews,17.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Amazon,Internet ,4.1,20.7k Reviews,30.0,"Company Culture, Salary & Benefits, Work Life Balance",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IBM,IT Services & Consulting ,4.1,19.9k Reviews,113.0,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Reliance Retail,Retail ,4.0,19k Reviews,18.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
HDB Financial Services,NBFC ,4.0,18.3k Reviews,17.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Larsen & Toubro Limited,Engineering & Construction ,4.1,16.8k Reviews,86.0,"Job Security, Skill Development / Learning",No-Data,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Vodafone Idea,Telecom ,4.2,15.5k Reviews,6.0,"Company Culture, Work Life Balance, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BYJU'S,EdTech ,3.1,14.7k Reviews,13.0,"Job Security, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kotak Mahindra Bank,Banking ,3.8,14.4k Reviews,21.0,Job Security,Promotions / Appraisal,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Deloitte,Management Consulting ,3.9,14k Reviews,179.0,"Job Security, Skill Development / Learning, Salary & Benefits",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Reliance Industries,Oil & Gas ,4.1,13.8k Reviews,47.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
iEnergizer,BPO ,4.6,13.6k Reviews,24.0,"Company Culture, Skill Development / Learning, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bharti Airtel,Telecom ,4.1,12.4k Reviews,29.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Tata Motors,Automobile ,4.2,10.6k Reviews,79.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WNS,BPO ,3.5,9.8k Reviews,28.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
Flipkart,Internet ,4.1,9.4k Reviews,17.0,"Skill Development / Learning, Company Culture, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
IndusInd Bank,Banking ,3.7,9.3k Reviews,30.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ernst & Young,Management Consulting ,3.6,9k Reviews,22.0,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
AU Small Finance Bank,Banking ,4.5,8.8k Reviews,28.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mahindra & Mahindra,Automobile ,4.2,8.8k Reviews,79.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Infosys BPM,BPO ,3.8,8.4k Reviews,22.0,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
DXC Technology,IT Services & Consulting ,3.8,8.4k Reviews,7.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
IDFC FIRST Bank,Banking ,4.0,8.3k Reviews,6.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Conneqt Business Solutions,BPO ,3.7,7.9k Reviews,22.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
LTIMindtree,IT Services & Consulting ,3.7,7.8k Reviews,25.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HDFC Life,Insurance ,4.1,7.8k Reviews,24.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bajaj Finserv,Financial Services ,4.1,7.6k Reviews,17.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Mphasis,IT Services & Consulting ,3.5,7.1k Reviews,26.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
PwC,Management Consulting ,3.6,7.1k Reviews,144.0,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
HSBC Group,Banking ,4.1,6.8k Reviews,159.0,"Job Security, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Startek,BPO ,3.3,6.8k Reviews,7.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Hinduja Global Solutions,IT Services & Consulting ,4.0,6.8k Reviews,24.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Samsung,Consumer Electronics & Appliances ,4.1,6.7k Reviews,55.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Ericsson,Telecom ,4.3,6.6k Reviews,148.0,"Company Culture, Work Life Balance, Job Security",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Automobile ,4.3,6.6k Reviews,43.0,"Job Security, Salary & Benefits, Skill Development / Learning",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Shriram Finance,NBFC ,4.1,6.5k Reviews,45.0,"Job Security, Skill Development / Learning, Work Life Balance",No-Data,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Yes Bank,Banking ,3.9,6.4k Reviews,20.0,"Salary & Benefits, Work Life Balance",No-Data,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Asian Paints,Chemicals ,4.1,6.4k Reviews,82.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Cipla,Pharma ,4.1,6.2k Reviews,89.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",No-Data,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Sutherland Global Services,IT Services & Consulting ,3.7,6k Reviews,38.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dr. Reddy's,Pharma ,4.2,6k Reviews,40.0,"Skill Development / Learning, Company Culture, Work Life Balance",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paytm,FinTech ,3.5,6k Reviews,14.0,"Job Security, Promotions / Appraisal, Company Culture",No-Data,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bandhan Bank,Banking ,3.8,6k Reviews,23.0,Job Security,"Promotions / Appraisal, Work Satisfaction",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
UltraTech Cement,Building Material ,4.2,6k Reviews,41.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
EXL Service,Analytics & KPO ,3.8,5.9k Reviews,25.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
NTT DATA,IT Services & Consulting ,4.0,5.9k Reviews,36.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
ICICI Prudential Life Insurance,Insurance ,4.1,5.7k Reviews,24.0,"Job Security, Skill Development / Learning, Salary & Benefits",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Bajaj Finance,NBFC ,4.1,5.7k Reviews,37.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Jana Small Finance Bank,Banking ,3.9,5.6k Reviews,18.0,No-Data,No-Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lupin,Pharma ,4.1,5.5k Reviews,56.0,"Skill Development / Learning, Company Culture, Work Life Balance",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Indian Army,Defence & Aerospace ,4.7,5.5k Reviews,129.0,"Job Security, Company Culture, Work Satisfaction",No-Data,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
